articleNo,articleName,tradeTypeName,tagList,dealOrWarrantPrc
2527944272,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '역세권', '대단지', '방세개']",9억
2527685849,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '방세개']",12억
2527669627,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '탑층']","9억 8,000"
2527669172,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '역세권', '대단지', '대형평수']","13억 7,000"
2527644289,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '탑층']","9억 5,000"
2527488820,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방두개', '화장실한개']","9억 5,000"
2527842132,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방두개', '화장실한개']","9억 5,000"
2527419484,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '화장실두개', '대형평수']",14억
2527828135,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방세개', '화장실두개']",12억
2527325093,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '탑층', '방네개이상']",13억
2528509890,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '대형평수']",14억
2527000787,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방세개', '화장실두개']","11억 5,000"
2526783990,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '대형평수', '방네개이상']",14억
2526688436,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '1층', '방네개이상']",12억
2526677231,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방세개', '화장실한개']",9억
2526865845,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '역세권', '대단지', '대형평수']","13억 7,000"
2526921606,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '대형평수', '방네개이상']","13억 9,000"
2526723006,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '탑층', '방세개']","12억 5,000"
2528362088,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '대형평수', '방네개이상']","13억 5,000"
2526304216,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '1층']",15억
2526340369,"신도림대림1,2차(e편한세상)",월세,"['25년이상', '올수리', '대단지', '방세개']",2억
2525921091,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '탑층', '방세개']","11억 5,000"
2525952506,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방두개', '화장실한개']","9억 5,000"
2526006712,"신도림대림1,2차(e편한세상)",전세,"['25년이상', '대단지', '욕실수리', '방두개']","5억 5,000"
2525688444,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '올수리', '대단지', '대형평수']","13억 9,000"
2525158481,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '방두개', '화장실한개']","9억 5,000"
2528856744,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '급매', '대형평수']","13억 5,000"
2525400977,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '대형평수', '방네개이상']",14억
2525124835,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '1층', '급매']",12억
2527319020,"신도림대림1,2차(e편한세상)",월세,"['25년이상', '융자금없는', '대단지', '1층']","5,000"
2526395267,"신도림대림1,2차(e편한세상)",매매,"['25년이상', '대단지', '대형평수', '방네개이상']","13억 5,000"
